target_return,ann_volatility,short_weight_sum,max_weight,min_weight
0.08772337506396674,0.1628805250568478,0.47288291290904383,0.2232646595523368,-0.17962381791251686
0.08898082662745764,0.1624033731708124,0.4651423491393068,0.22171107252973798,-0.17755371249398963
0.09023827819094853,0.161931915128337,0.4574017853695699,0.22015748550713918,-0.1754836070754625
0.09149572975443943,0.1614662008050378,0.4496612215998329,0.21860389848454048,-0.17341350165693525
0.09275318131793031,0.16100628004243714,0.44192065783009565,0.21705031146194165,-0.17134339623840802
0.09401063288142121,0.16055220262956102,0.43418009406035885,0.21549672443934303,-0.16927329081988074
0.0952680844449121,0.1601040182840912,0.4264395302906218,0.21394313741674426,-0.16720318540135348
0.096525536008403,0.15966177663307723,0.41869896652088434,0.21238955039414553,-0.1651330799828263
0.09778298757189388,0.15922552719321656,0.41095840275114737,0.21083596337154692,-0.16306297456429905
0.09904043913538478,0.15879531935070967,0.40350096129040436,0.2092823763489482,-0.16099286914577193
0.10029789069887568,0.15837120234070037,0.3972461838218021,0.20772878932634947,-0.15892276372724462
0.10155534226236657,0.15795322522630956,0.39135539882782,0.2061752023037507,-0.15685265830871742
0.10281279382585747,0.15754143687727548,0.3854646138338378,0.20462161528115203,-0.15478255289019022
0.10407024538934835,0.15713588594821012,0.3795738288398556,0.2030680282585533,-0.15271244747166307
0.10532769695283925,0.15673662085648732,0.37368304384587325,0.20151444123595447,-0.15064234205313565
0.10658514851633014,0.15634368975977467,0.36779225885189115,0.1999608542133558,-0.1485722366346084
0.10784260007982104,0.1559571405332252,0.36190147385790883,0.19840726719075713,-0.14650213121608124
0.10910005164331193,0.15557702074634505,0.35601068886392656,0.1968536801681584,-0.14443202579755393
0.11035750320680282,0.1552033776395548,0.3501199038699446,0.19530009314555963,-0.14236192037902684
0.11161495477029372,0.15483625810046192,0.3442291188759622,0.19374650612296096,-0.14029181496049964
0.1128724063337846,0.1544757086398652,0.3383383338819802,0.19219291910036224,-0.1382217095419725
0.1141298578972755,0.15412177536751012,0.3324475488879977,0.19063933207776346,-0.136151604123445
0.11538730946076639,0.15377450396761816,0.32655676389401567,0.1891339259778575,-0.13408149870491787
0.11664476102425729,0.1534339396742123,0.3206659789000335,0.18853005107016318,-0.1320113932863906
0.11790221258774819,0.15310012724626215,0.314775193906051,0.187926176162469,-0.12994128786786346
0.11915966415123908,0.15277311094267404,0.3088844089120691,0.1873223012547748,-0.1278711824493362
0.12041711571472996,0.15245293449715083,0.30299362391808654,0.18671842634708058,-0.1258010770308089
0.12167456727822086,0.15213964109294967,0.29710283892410455,0.18611455143938652,-0.12373097161228175
0.12293201884171176,0.15183327333756452,0.2912120539301223,0.1855106765316922,-0.12166086619375444
0.12418947040520265,0.1515338732373613,0.28532126893614046,0.18490680162399817,-0.1195907607752274
0.12544692196869356,0.15124148217219652,0.2794304839421575,0.18430292671630386,-0.11752065535669992
0.12670437353218444,0.15095614087004888,0.27353969894817554,0.18369905180860996,-0.11545054993817272
0.12796182509567533,0.1506778893816949,0.26764891395419343,0.18309517690091565,-0.11338044451964546
0.12921927665916622,0.15040676705546058,0.26175812896021144,0.18249130199322136,-0.11131033910111837
0.1304767282226571,0.1501428125120811,0.2558673439662288,0.18188742708552738,-0.10924023368259106
0.13173417978614801,0.1498860636197018,0.2499765589722469,0.18128355217783299,-0.10717012826406391
0.1329916313496389,0.14963655746905477,0.24580058682886216,0.18067967727013884,-0.10510002284553666
0.1342490829131298,0.14939433034884303,0.24189584699737315,0.18007580236244472,-0.1030299174270094
0.1355065344766207,0.14915941772136876,0.23799110716588412,0.17947192745475046,-0.10095981200848209
0.13676398604011158,0.14893185419843988,0.2340863673343953,0.17886805254705634,-0.09888970658995494
0.13802143760360247,0.14871167351758907,0.23018162750290652,0.17826417763936236,-0.0968196011714278
0.13927888916709336,0.14849890851864095,0.22627688767141732,0.17766030273166808,-0.09474949575290043
0.14053634073058427,0.14829359112066312,0.22237214783992834,0.177056427823974,-0.09267939033437317
0.14179379229407515,0.1480957522993356,0.2184674080084396,0.1764525529162797,-0.09060928491584602
0.14305124385756607,0.14790542206477422,0.21456266817695038,0.1758486780085855,-0.08853917949731877
0.14430869542105695,0.14772262943984202,0.2106579283454617,0.17560243084299015,-0.08646907407879156
0.14556614698454784,0.14754740243898506,0.20675318851397276,0.1761197855165857,-0.0843989686602643
0.14682359854803873,0.14737976804762506,0.20284844868248403,0.176637140190181,-0.08232886324173716
