n_assets,subsets,theoretical_subsets,feasible_subsets,seconds,seconds_per_subset
5,31,31,16,0.025321131997770863,0.0008168107096055117
8,255,255,54,0.10435969600075623,0.0004092537098068872
10,1023,1023,109,0.16933640700153774,0.00016552923460560874
12,4095,4095,264,0.8198437779974483,0.0002002060507930277
14,16383,16383,470,2.415952645998914,0.0001474670479154559
16,65535,65535,630,4.360441403998266,6.653607086287122e-05
18,262143,262143,1565,9.434618782997859,3.5990351766012666e-05
20,1048575,1048575,2598,40.50490795299993,3.86285272422096e-05
