method,gamma,return,volatility
OSQP,0.12548035260360815,0.27456468546669266,0.17864607957422834
OSQP,0.12946083199855804,0.2768783902773979,0.18028943500583652
OSQP,0.13356757989598556,0.2792485538520624,0.18201010942712298
OSQP,0.13780460177692355,0.28128870509642556,0.1835242500718546
OSQP,0.14217603018400746,0.2833165871336556,0.18506429880106298
OSQP,0.1466861287521155,0.2850842477020074,0.18643874291022164
OSQP,0.15133929636686744,0.2869079817435717,0.18789072341801039
OSQP,0.15614007145504014,0.28878956815503504,0.18942405581250638
OSQP,0.16109313641108275,0.29073084212542877,0.191042690153205
OSQP,0.1662033221640492,0.2927336970595256,0.19275071143126268
OSQP,0.1714756128894038,0.2942572362216646,0.1940771864112341
OSQP,0.17691515087029286,0.2953290662949331,0.19503684045163894
OSQP,0.1825272415130268,0.296434895689732,0.19605318419203496
OSQP,0.1883173585216616,0.29757580413097295,0.19712927407343273
OSQP,0.19429114923672938,0.2987529043938627,0.19826830103881868
OSQP,0.20045444014332275,0.29996734455295965,0.199473592268699
OSQP,0.2068132425539064,0.3012203091019657,0.20074861367967217
OSQP,0.21337375847139947,0.3025130201090146,0.20209697217538958
OSQP,0.22014238663824442,0.3032055503885011,0.20283615377300787
OSQP,0.22712572877736611,0.30374616348374034,0.20343132463210586
OSQP,0.23433059603110462,0.3043039250408471,0.20406294688613622
OSQP,0.24176401560440375,0.3048793798729404,0.20473313624604847
OSQP,0.2494332376187354,0.30547308924492234,0.20544411726312672
OSQP,0.2573457421834418,0.3060856322260926,0.20619822753860317
OSQP,0.2655092466913963,0.30671760625494887,0.2069979217642677
OSQP,0.2739317133460955,0.30736962772189247,0.2078457757246006
OSQP,0.282621356927525,0.3080423325704202,0.20874449023866246
OSQP,0.29158665280437496,0.3087363769173871,0.20969689501870103
OSQP,0.30083634520041663,0.3094524376929412,0.21070595242137025
OSQP,0.3103794557231064,0.31019121330076627,0.21177476106663748
OSQP,0.32022529216273127,0.31095342429925915,0.21290655929892255
OSQP,0.330383457570683,0.3117398141043232,0.2141047284648629
OSQP,0.3408638596257105,0.3125511497144521,0.2153727959823368
OSQP,0.35167672029728797,0.3133882224588129,0.21671443817609556
OSQP,0.36283258581552597,0.3142518487690659,0.21813348285659745
OSQP,0.3743423369573438,0.31514287097566157,0.2196339116204213
OSQP,0.38621719965894297,0.31606215812939953,0.22121986185304474
OSQP,0.39846875596492587,0.3170106068490521,0.22289562841778815
OSQP,0.4111089553247426,0.31798914219587376,0.22466566501837862
OSQP,0.4241501262474842,0.3187398960069474,0.22605041078996793
OSQP,0.43760498832638595,0.31926151323563284,0.2270405215818639
OSQP,0.45148666464477405,0.3197981573096801,0.22808848467381246
OSQP,0.4658086945755498,0.320351657972709,0.22919858851274805
OSQP,0.48058504698670146,0.32092271667763644,0.23037435726868752
OSQP,0.4958301338657179,0.3215150780141875,0.2316159366701421
OSQP,0.5115588243761954,0.32173384978396374,0.23210774533180503
OSQP,0.5277864593603492,0.3219735326451508,0.2326433309013758
OSQP,0.5445288663015695,0.32222061572645294,0.23321188716668487
OSQP,0.5618023747616222,0.32247545007539485,0.23381548442038277
OSQP,0.5796238323075447,0.3227383682482248,0.2344562746760758
OSQP,0.598010620943774,0.32300962669383415,0.23513644366802036
OSQP,0.6169806740655365,0.3232894899818044,0.2358582928649444
OSQP,0.6365524939500268,0.3235782310743705,0.2366242441486047
OSQP,0.6567451698024469,0.3238761315926612,0.2374368445041812
OSQP,0.6775783963744958,0.3241834820913674,0.23829877071569766
OSQP,0.699072493173474,0.3245005823421423,0.23921283404504823
OSQP,0.721248424280742,0.32482774162596834,0.24018198487140738
OSQP,0.7441278187988525,0.3251652790348251,0.24120931726618186
OSQP,0.7677329919473117,0.3255135237829038,0.2422980734771217
OSQP,0.7920869668275324,0.32587281552770525,0.2434516482939533
OSQP,0.8172134968782193,0.32624350470132685,0.2446735932668728
OSQP,0.8431370890430792,0.3266259528522457,0.2459676207485521
OSQP,0.8698830276734549,0.3270205329979569,0.24733760773004865
OSQP,0.8974773991892017,0.3274276299887919,0.24878759944118445
OSQP,0.9259471175218478,0.32784764088328006,0.2503218126866753
OSQP,0.9553199503648675,0.32828097533541045,0.2519446388905963
OSQP,0.9856245462566599,0.3287280559941949,0.25366064682372624
OSQP,1.0168904625226516,0.32918931891588854,0.25547458499090514
OSQP,1.049148194103779,0.32966521398928694,0.2573913836589353
OSQP,1.0824292032994687,0.3301562053745317,0.25941615650959227
OSQP,1.1167659504541123,0.33066277195582794,0.2615542019071449
OSQP,1.1521919256169868,0.33118540780850403,0.2638110037752693
OSQP,1.1887416812064866,0.3317246226809193,0.26619223208444304
OSQP,1.2264508657105195,0.3322809424916344,0.2687037429576281
OSQP,1.2653562584559563,0.3328549098423657,0.2713515784093025
OSQP,1.305495805481025,0.33344708454719846,0.27414196574049243
OSQP,1.3469086565456578,0.3340580441786113,0.2770813166202782
OSQP,1.3896352033158614,0.33468838463079326,0.2801762258920766
OSQP,1.4337171187593845,0.33533872070085274,0.28343347015073656
OSQP,1.4791973977910886,0.3360096866884484,0.2868600061438414
OSQP,1.5261203992076604,0.3367019370144519,0.29046296905744184
OSQP,1.5745318889525834,0.33741614685923155,0.29424967075254044
OSQP,1.6244790847535535,0.3379692685849948,0.29719999899871946
OSQP,1.6760107021758872,0.3379601756978816,0.29718666753166295
OSQP,1.7291770021368176,0.337961274145424,0.29718827799837966
OSQP,1.7840298399270484,0.3379618002628351,0.2971890493561557
OSQP,1.840622715787371,0.33796197698157887,0.2971893084494234
OSQP,1.8990108270896482,0.33796215920009925,0.2971895756061992
OSQP,1.9592511221731002,0.3379623471989131,0.2971898512377684
OSQP,2.0214023558883802,0.3379625411614086,0.2971901356130188
OSQP,2.085525146903598,0.33796274127676856,0.29719042900932513
OSQP,2.1516820368282206,0.33796294774017976,0.29719073171286253
OSQP,2.219937551212487,0.3379631607530102,0.29719104401888247
OSQP,2.2903582624818535,0.3379633805230151,0.297191366232
OSQP,2.363012854867819,0.33796360726455316,0.2971916986665014
OSQP,2.4379721913985044,0.33796384119876993,0.29719204164663526
