sampler,return,volatility,sharpe,effective_n
dirichlet_alpha1,0.2026817717613855,0.1822044280557486,1.1123866413354757,14.170848175196799
dirichlet_alpha1,0.19964450404420397,0.17973292025497428,1.1107842890494548,12.245766695239633
dirichlet_alpha1,0.1980612416966136,0.17751189956530675,1.11576318084381,11.319988078581233
dirichlet_alpha1,0.18785593657014155,0.19485525899819092,0.9640793763327971,10.526600851540366
dirichlet_alpha1,0.1988700602818015,0.18492610926817724,1.0754028247758294,11.192975378514507
dirichlet_alpha1,0.2133138297312066,0.18649108374999085,1.143828570470287,8.62419002646526
dirichlet_alpha1,0.20455938241785548,0.1797201133952264,1.138210846595698,14.216620063274128
dirichlet_alpha1,0.20283566323106011,0.17328734512419838,1.170516306806385,13.611402428751866
dirichlet_alpha1,0.22182870630483809,0.19228827761470454,1.1536257386907633,8.512385532211226
dirichlet_alpha1,0.1951862641220502,0.18221107245026227,1.0712096773116229,9.13179655805333
dirichlet_alpha1,0.21785745506799775,0.181272540097443,1.2018227082319723,11.357144998862164
dirichlet_alpha1,0.20551605195614953,0.1918763961269965,1.071085636922873,12.315039981072823
dirichlet_alpha1,0.19683960165479383,0.19529684127884725,1.007899566454041,11.154782886025595
dirichlet_alpha1,0.19208576324241539,0.1834784072018352,1.0469120926644608,8.855315745009431
dirichlet_alpha1,0.2050793872357261,0.17419503018960708,1.1772975785388489,10.334024469070012
dirichlet_alpha1,0.2023734564431321,0.17612567003695515,1.1490287384040587,11.66619047135837
dirichlet_alpha1,0.18566974987335932,0.1827527887268355,1.0159612401367175,10.724008923481643
dirichlet_alpha1,0.19430007982417782,0.17933618396435547,1.0834404721291302,11.554318070857008
dirichlet_alpha1,0.1916555249955199,0.19020367436346464,1.0076331366200681,11.51164644793233
dirichlet_alpha1,0.20559394485174687,0.19139176895428642,1.074204737095317,11.26858514018076
dirichlet_alpha1,0.20970719242538294,0.1923978958365051,1.0899661428916398,11.89193957979654
dirichlet_alpha1,0.21543408994754776,0.17176210922597002,1.2542585260415202,12.206845312220453
dirichlet_alpha1,0.1906979394253771,0.17926419596526366,1.0637815231231615,8.09939191572518
dirichlet_alpha1,0.18914825965987742,0.17108383607110775,1.1055881373928367,12.429793994077366
