sampler,target_volatility,mc_return,mc_volatility,frontier_return,frontier_volatility,return_gap,mc_sharpe,frontier_sharpe
dirichlet_alpha1,0.14922765622495665,,,0.20321518914753503,0.14922765622495665,,,1.3617796746817068
dirichlet_alpha1,0.16993928207638268,0.23877990644077662,0.16812937929362887,0.2600528685540004,0.16993928207638268,0.02127296211322377,1.4202152380742479,1.5302693137017864
dirichlet_alpha1,0.19065090792780873,0.2601313428557752,0.18434048701451133,0.2901019557394582,0.19065090792780873,0.029970612883682968,1.411146010671533,1.521639518492654
dirichlet_alpha1,0.21136253377923475,0.2666806548971511,0.20135814087682727,0.30945716904914616,0.21136253377923475,0.04277651415199507,1.324409600405887,1.4641060717618473
dirichlet_alpha1,0.2320741596306608,0.2666806548971511,0.20135814087682727,0.3216478133227225,0.2320741596306608,0.05496715842557143,1.324409600405887,1.3859699582004974
dirichlet_alpha1,0.25278578548208686,0.2666806548971511,0.20135814087682727,0.3282626761874684,0.25278578548208686,0.06158202129031731,1.324409600405887,1.2985804386169888
dirichlet_alpha1,0.27349741133351285,0.2666806548971511,0.20135814087682727,0.33297068591589596,0.27349741133351285,0.06629003101874487,1.324409600405887,1.2174546160872404
dirichlet_alpha1,0.2942090371849389,0.2666806548971511,0.20135814087682727,0.33717489308252585,0.2942090371849389,0.07049423818537476,1.324409600405887,1.1460385320202748
dirichlet_alpha0.3,0.14922765622495665,,,0.20321518914753503,0.14922765622495665,,,1.3617796746817068
dirichlet_alpha0.3,0.16993928207638268,0.2451731304307282,0.1694840404205571,0.2600528685540004,0.16993928207638268,0.014879738123272201,1.4465853529474306,1.5302693137017864
dirichlet_alpha0.3,0.19065090792780873,0.279234419576811,0.18725095910411543,0.2901019557394582,0.19065090792780873,0.010867536162647184,1.4912309176560792,1.521639518492654
dirichlet_alpha0.3,0.21136253377923475,0.29572980638057056,0.205725600812569,0.30945716904914616,0.21136253377923475,0.013727362668575604,1.4374963797043516,1.4641060717618473
dirichlet_alpha0.3,0.2320741596306608,0.3031561336956703,0.2234922597669885,0.3216478133227225,0.2320741596306608,0.018491679627052227,1.3564502592248107,1.3859699582004974
dirichlet_alpha0.3,0.25278578548208686,0.3149935408122696,0.24543559146055338,0.3282626761874684,0.25278578548208686,0.013269135375198804,1.2834061227134437,1.2985804386169888
dirichlet_alpha0.3,0.27349741133351285,0.31767017747729015,0.26528090891406975,0.33297068591589596,0.27349741133351285,0.015300508438605809,1.197486011253793,1.2174546160872404
dirichlet_alpha0.3,0.2942090371849389,0.3223853134225691,0.27554910900846186,0.33717489308252585,0.2942090371849389,0.014789579659956753,1.169974073161198,1.1460385320202748
sparse_face_union,0.14922765622495665,,,0.20321518914753503,0.14922765622495665,,,1.3617796746817068
sparse_face_union,0.16993928207638268,0.24429877984856352,0.16928243429802026,0.2600528685540004,0.16993928207638268,0.015754088705436875,1.4431431167777138,1.5302693137017864
sparse_face_union,0.19065090792780873,0.2838429743045288,0.18782131863842244,0.2901019557394582,0.19065090792780873,0.006258981434929367,1.5112393862539057,1.521639518492654
sparse_face_union,0.21136253377923475,0.306036417707406,0.2077505971666487,0.30945716904914616,0.21136253377923475,0.003420751341740136,1.4730952492132507,1.4641060717618473
sparse_face_union,0.2320741596306608,0.32113117432957405,0.23183810129997415,0.3216478133227225,0.2320741596306608,0.0005166389931484661,1.3851527101408756,1.3859699582004974
sparse_face_union,0.25278578548208686,0.3284765395439688,0.25269865453770435,0.3282626761874684,0.25278578548208686,-0.0002138633565004211,1.299874509205026,1.2985804386169888
sparse_face_union,0.27349741133351285,0.3330401386147762,0.27223286941572283,0.33297068591589596,0.27349741133351285,-6.945269888025685e-05,1.2233649056763807,1.2174546160872404
sparse_face_union,0.2942090371849389,0.33685551709424005,0.29129203538713055,0.33717489308252585,0.2942090371849389,0.00031937598828579716,1.1564185634068405,1.1460385320202748
tilted,0.14922765622495665,,,0.20321518914753503,0.14922765622495665,,,1.3617796746817068
tilted,0.16993928207638268,0.25678711807873095,0.1698218297739068,0.2600528685540004,0.16993928207638268,0.0032657504752694466,1.5120972281396676,1.5302693137017864
tilted,0.19065090792780873,0.28714659718189806,0.1904884133007623,0.2901019557394582,0.19065090792780873,0.0029553585575601282,1.5074229041349727,1.521639518492654
tilted,0.21136253377923475,0.30389754811160113,0.20878244075658606,0.30945716904914616,0.21136253377923475,0.005559620937545029,1.4555704349960505,1.4641060717618473
