method,solve_time_s,n_selected_y,n_active_holdings,in_sample_return,in_sample_vol,in_sample_sharpe,max_weight
MIQP K<=10,0.15011240700005146,7,6,0.3442941925051223,0.21941441417729457,1.569150293958903,0.20000000935031853
convex relaxation,0.008107669999844802,6,6,0.34429419164611236,0.2194144836926915,1.5691497929021194,0.19999999998464227
greedy top-10,0.006471097000030568,6,6,0.34429419160292957,0.21941448105542743,1.56914981156579,0.19999999993098685
