sampler,samples,best_sharpe,best_return,best_volatility,min_volatility,median_n_eff,best_n_eff,frontier_best_sharpe,sharpe_gap,draw_time_s
dirichlet_alpha1,100000,1.432650608501064,0.22995916041557055,0.16051307907946194,0.15325181814828348,10.923465990040487,9.862076842706664,1.5385956702503811,0.10594506174931717,0.06181994200233021
dirichlet_alpha0.3,100000,1.4997213319023113,0.27149885851221106,0.18103287106533997,0.15336019439390838,5.853364426107484,4.54150372709298,1.5385956702503811,0.03887433834806986,0.23869090100197354
sparse_face_union,100000,1.5112393862539057,0.2838429743045288,0.18782131863842244,0.15369959979541925,2.542690133203471,3.669721120102934,1.5385956702503811,0.027356283996475383,0.1962933759969019
tilted,100000,1.5210439746641429,0.2780752509481662,0.18281867952540107,0.155090973299564,5.959674693634907,4.906841673366763,1.5385956702503811,0.01755169558623826,0.18116896100036683
mixed,100000,1.522034955007909,0.2699091366626871,0.17733438760694203,0.1537430925139525,5.491897797849681,5.833729365638819,1.5385956702503811,0.016560715242472046,0.4364898349995201
active_set_solver,400,1.5385956702503811,0.2672007456461302,0.17366534354191163,0.1477501546781749,,,1.5385956702503811,0.0,0.10170990000187885
