method,OOS_sharpe,OOS_return,OOS_vol,avg_turnover,max_drawdown,n_active_holdings,max_weight,mean_solve_s
equal_weight,0.9794791616079956,0.17412166116346792,0.1777696432843095,0.0,-0.4127402880705263,49,0.02040816326530612,1.0863954478488516e-05
min_var_portfolio,1.1227546850107117,0.1636349663980517,0.1457441848897656,0.05103091441168969,-0.32155453604370743,18,0.1398140458421512,0.006522331579545112
capped_MVO,1.1941557634962863,0.26990144261662125,0.22601862409171433,0.20292096657927425,-0.40354714629704347,5,0.19999999978900343,0.007480086159096738
target_risk_SOCP,1.1941559326608997,0.2699014763867781,0.22601862035334463,0.20292115509061046,-0.4035471409523912,5,0.199999999733574,0.0083392530568331
greedy K=10,1.2354707172830857,0.27601257400499274,0.22340681178746988,0.20968658472569573,-0.41137656369122866,5,0.19999999995840317,0.005946100159101
MIQP K=10,1.1941565681911166,0.2699016391906986,0.2260186364000325,0.20292083807523845,-0.4035471472946852,5,0.2,0.06302292444317201
