method,OOS_return,OOS_vol,OOS_sharpe,avg_turnover,median_turnover,max_drawdown,n_rebalances,mean_solve_s,n_active_holdings,max_weight
equal_weight,0.17412166116346792,0.1777696432843095,0.9794791616079956,0.0,0.0,-0.4127402880705263,88,1.0863954478488516e-05,49,0.02040816326530612
min_var_portfolio,0.1636349663980517,0.1457441848897656,1.1227546850107117,0.05103091441168969,0.04442677978654933,-0.32155453604370743,88,0.006522331579545112,18,0.1398140458421512
capped_MVO,0.26990144261662125,0.22601862409171433,1.1941557634962863,0.20292096657927425,0.20000000030126505,-0.40354714629704347,88,0.007480086159096738,5,0.19999999978900343
target_risk_SOCP,0.2699014763867781,0.22601862035334463,1.1941559326608997,0.20292115509061046,0.1999999920598497,-0.4035471409523912,88,0.0083392530568331,5,0.199999999733574
