gamma,brute_return,brute_volatility,brute_objective,brute_cardinality,active_return,active_volatility,active_objective,active_cardinality,active_iterations,active_converged,active_reason,cvxpy_return,cvxpy_volatility,cvxpy_objective,cvxpy_cardinality,cvxpy_status,cvxpy_solver,l2_brute_active,l2_brute_cvxpy,max_abs_brute_active,max_abs_brute_cvxpy
0.01,0.3379562361986545,0.29718083679661167,0.337073071701056,1,0.3379562361986545,0.29718083679661167,0.33707307170106315,1,20,True,kkt,0.33795623547506226,0.29718083479846213,0.33707307098934713,1,optimal,CLARABEL,0.0,1.0648207959883384e-08,0.0,9.845540493991223e-09
0.010317219334529941,0.3379562361986545,0.29718083679661167,0.3370450560156445,1,0.3379562361986545,0.29718083679661167,0.3370450560156425,1,1,True,kkt,0.33795623547075165,0.2971808347874952,0.3370450553000599,1,optimal,CLARABEL,0.0,1.070431770783978e-08,0.0,9.89817883212396e-09
0.010644501479679849,0.3379562361986545,0.29718083679661167,0.33701615161851434,1,0.3379562361986545,0.29718083679661167,0.33701615161851334,1,1,True,kkt,0.3379562354662909,0.2971808347761352,0.3370161508989326,1,optimal,CLARABEL,0.0,1.076244723217027e-08,0.0,9.952698776238833e-09
0.01098216564725855,0.3379562361986545,0.29718083679661167,0.3369863303180242,1,0.3379562361986545,0.29718083679661167,0.3369863303180219,1,1,True,kkt,0.33795623546167425,0.29718083476436646,0.33698632959430685,1,optimal,CLARABEL,0.0,1.0822678068937557e-08,0.0,1.0009175488434607e-08
0.01133054117509065,0.3379562361986545,0.29718083679661167,0.3369555630282188,1,0.3379562361986545,0.29718083679661167,0.33695556302822083,1,1,True,kkt,0.33795623545689574,0.29718083475217255,0.3369555623002302,1,optimal,CLARABEL,0.0,1.0885094668077543e-08,0.0,1.006768679534531e-08
0.011689967848233283,0.3379562361986545,0.29718083679661167,0.3369238197404906,1,0.3379562361986545,0.29718083679661167,0.3369238197405001,1,1,True,kkt,0.33795623545194914,0.2971808347395362,0.33692381900808743,1,optimal,CLARABEL,0.0,1.0949786091746531e-08,0.0,1.012831474245246e-08
0.01206079623038258,0.3379562361986545,0.29718083679661167,0.33689106949430964,1,0.3379562361986545,0.29718083679661167,0.33689106949431874,1,1,True,kkt,0.3379562354468278,0.29718083472643947,0.33689106875733205,1,optimal,CLARABEL,0.0,1.1016846060324187e-08,0.0,1.0191145594085071e-08
0.012443388005792904,0.3379562361986545,0.29718083679661167,0.3368572803470109,1,0.3379562361986545,0.29718083679661167,0.33685728034700746,1,1,True,kkt,0.33795623544152503,0.2971808347128636,0.33685727960528916,1,optimal,CLARABEL,0.0,1.1086371107294128e-08,0.0,1.0256268168085114e-08
0.012838116332042453,0.3379562361986545,0.29718083679661167,0.33682241934261103,1,0.3379562361986545,0.29718083679661167,0.33682241934261375,1,1,True,kkt,0.3379562354360337,0.2971808346987886,0.3368224185960004,1,optimal,CLARABEL,0.0,1.1158464602618042e-08,0.0,1.0323777499543496e-08
0.013245366203989306,0.3379562361986545,0.29718083679661167,0.3367864524797585,1,0.3379562361986545,0.29718083679661167,0.3367864524797585,1,1,True,kkt,0.33795623543034625,0.29718083468419393,0.33678645172808036,1,optimal,CLARABEL,0.0,1.1233233669289833e-08,0.0,1.0393772065242501e-08
0.013665534829272791,0.3379562361986545,0.29718083679661167,0.33674934467847617,1,0.3379562361986545,0.29718083679661167,0.33674934467847334,1,1,True,kkt,0.3379562354244548,0.2971808346690575,0.3367493439215542,1,optimal,CLARABEL,0.0,1.1310791924111786e-08,0.0,1.0466356226146445e-08
0.014099032015726563,0.3379562361986545,0.29718083679661167,0.336711059745986,1,0.3379562361986545,0.29718083679661167,0.33671105974598514,1,1,True,kkt,0.337956235418351,0.29718083465335643,0.336711058983642,1,optimal,CLARABEL,0.0,1.1391258229130296e-08,0.0,1.0541639117178647e-08
0.014546280571081073,0.3379562361986545,0.29718083679661167,0.33667156034141427,1,0.3379562361986545,0.29718083679661167,0.3366715603414164,1,1,True,kkt,0.3379562354120265,0.29718083463706674,0.33667155957345923,1,optimal,CLARABEL,0.0,1.1474756879518398e-08,0.0,1.0619734758243737e-08
0.015007716715345489,0.3379562361986545,0.29718083679661167,0.33663080793936984,1,0.3379562361986545,0.29718083679661167,0.3366308079393644,1,1,True,kkt,0.3379562354054722,0.29718083462016326,0.336630807165596,1,optimal,CLARABEL,0.0,1.1561419040591777e-08,0.0,1.0700763386495282e-08
0.015483790506271073,0.3379562361986545,0.29718083679661167,0.33658876279232536,1,0.3379562361986545,0.29718083679661167,0.33658876279232647,1,1,True,kkt,0.3379562353986785,0.29718083460261885,0.3365887620125417,1,optimal,CLARABEL,0.0,1.1651384292239881e-08,0.0,1.0784853010648021e-08
0.015974966278311103,0.3379562361986545,0.29718083679661167,0.33654538389193156,1,0.3379562361986545,0.29718083679661167,0.33654538389193217,1,1,True,kkt,0.3379562353916355,0.2971808345844059,0.33654538310591786,1,optimal,CLARABEL,0.0,1.1744796979657132e-08,0.0,1.0872135747241884e-08
0.016481723095505524,0.3379562361986545,0.29718083679661167,0.3365006289289491,1,0.3379562361986545,0.29718083679661167,0.33650062892894633,1,1,True,kkt,0.3379562353843326,0.29718083456549454,0.3365006281364807,1,optimal,CLARABEL,0.0,1.184181176591227e-08,0.0,1.0962753260734814e-08
0.017004555218731825,0.3379562361986545,0.29718083679661167,0.3364544542520044,1,0.3379562361986545,0.29718083679661167,0.33645445425200293,1,1,True,kkt,0.3379562353767589,0.2971808345458538,0.3364544534528554,1,optimal,CLARABEL,0.0,1.1942589385482601e-08,0.0,1.1056852544655271e-08
0.017543972587778206,0.3379562361986545,0.29718083679661167,0.3364068148250299,1,0.3379562361986545,0.29718083679661167,0.3364068148250304,1,1,True,kkt,0.3379562353534354,0.2971808345011952,0.3364068140037466,1,optimal,CLARABEL,0.0,1.2141476200676892e-08,0.0,1.1255781751096094e-08
0.01810050131870886,0.3379562361986545,0.29718083679661167,0.336357664183324,1,0.3379562361986545,0.29718083679661167,0.33635766418332563,1,1,True,kkt,0.3379562353293139,0.2971808344623035,0.33635766333909806,1,optimal,CLARABEL,0.0,1.2347849249565948e-08,0.0,1.146199091195399e-08
0.018674684217006774,0.3379562361986545,0.29718083679661167,0.336306954388234,1,0.3379562361986545,0.29718083679661167,0.33630695438823555,1,1,True,kkt,0.33795623531961433,0.2971808344386106,0.33630695353536805,1,optimal,CLARABEL,0.0,1.2468596475527586e-08,0.0,1.1575636227334485e-08
0.019267081306994352,0.3379562361986545,0.29718083679661167,0.3362546359804048,1,0.3379562361986545,0.29718083679661167,0.3362546359804002,1,1,True,kkt,0.33795623530954955,0.2971808344139862,0.3362546351185801,1,optimal,CLARABEL,0.0,1.2594123137099545e-08,0.0,1.1693731760686887e-08
0.019878270378048252,0.3379562361986545,0.29718083679661167,0.3362006579315128,1,0.3379562361986545,0.29718083679661167,0.3362006579315131,1,1,True,kkt,0.33795623529910335,0.29718083438838666,0.33620065706041485,1,optimal,CLARABEL,0.0,1.2724654169087533e-08,0.0,1.1816484346560685e-08
0.02050884754814132,0.3379562361986545,0.29718083679661167,0.33614496759455287,1,0.3379562361986545,0.29718083679661167,0.3361449675945513,1,1,True,kkt,0.33795623528825836,0.2971808343617658,0.33614496671383515,1,optimal,CLARABEL,0.0,1.2860428399708951e-08,0.0,1.1944113587070149e-08
0.02115942784526107,0.3379562361986545,0.29718083679661167,0.3360875106524277,1,0.3379562361986545,0.29718083679661167,0.3360875106524265,1,1,True,kkt,0.33795623527699703,0.29718083433407544,0.33608750976173873,1,optimal,CLARABEL,0.0,1.3001695113851556e-08,0.0,1.2076848299180654e-08
0.021830645807271874,0.3379562361986545,0.29718083679661167,0.3360282310650075,1,0.3379562361986545,0.29718083679661167,0.3360282310650071,1,1,True,kkt,0.33795623526529966,0.29718083430526315,0.33602823016397826,1,optimal,CLARABEL,0.0,1.3148725263748354e-08,0.0,1.2214937505916623e-08
0.022523156100806047,0.3379562361986545,0.29718083679661167,0.33596707101446177,1,0.3379562361986545,0.29718083679661167,0.33596707101446055,1,1,True,kkt,0.3379562352531463,0.2971808342752745,0.3359670701027052,1,optimal,CLARABEL,0.0,1.3301800518483711e-08,0.0,1.2358639556175888e-08
0.023237634159787215,0.3379562361986545,0.29718083679661167,0.33590397084886175,1,0.3379562361986545,0.29718083679661167,0.33590397084886053,1,1,True,kkt,0.33795623524051566,0.2971808342440513,0.3359039699259765,1,optimal,CLARABEL,0.0,1.3461222028060523e-08,0.0,1.2508230562424671e-08
0.02397477684420902,0.3379562361986545,0.29718083679661167,0.33583886902400484,1,0.3379562361986545,0.29718083679661167,0.33583886902400645,1,1,True,kkt,0.3379562352273847,0.29718083421153135,0.33583886808957325,1,optimal,CLARABEL,0.0,1.3627311460689752e-08,0.0,1.2664005510920617e-08
0.0247353031198114,0.3379562361986545,0.29718083679661167,0.335771702043397,1,0.3379562361986545,0.29718083679661167,0.33577170204339674,1,1,True,kkt,0.33795623521372925,0.2971808341776489,0.33577170109697474,1,optimal,CLARABEL,0.0,1.3800409398502692e-08,0.0,1.2826276374333645e-08
0.025519954759317696,0.3379562361986545,0.29718083679661167,0.3357024043962947,1,0.3379562361986545,0.29718083679661167,0.33570240439629784,1,1,True,kkt,0.3379562351995238,0.2971808341423337,0.3357024034374274,1,optimal,CLARABEL,0.0,1.3980879610277164e-08,0.0,1.2995376219571142e-08
0.026329497065916203,0.3379562361986545,0.29718083679661167,0.33563090849384986,1,0.3379562361986545,0.29718083679661167,0.33563090849384924,1,1,True,kkt,0.3379562351847407,0.2971808341055109,0.33563090752204916,1,optimal,CLARABEL,0.0,1.416911008739129e-08,0.0,1.3171660206978686e-08
0.027164719619692,0.3379562361986545,0.29718083679661167,0.3355571446031413,1,0.3379562361986545,0.29718083679661167,0.335557144603141,1,1,True,kkt,0.3379562351693511,0.29718083406710055,0.33555714361790734,1,optimal,CLARABEL,0.0,1.4365514315678353e-08,0.0,1.3355506478518464e-08
0.028026437047737128,0.3379562361986545,0.29718083679661167,0.33548104077920154,1,0.3379562361986545,0.29718083679661167,0.3354810407792005,1,1,True,kkt,0.3379562351533237,0.29718083402701745,0.3354810397800051,1,optimal,CLARABEL,0.0,1.4570534693273972e-08,0.0,1.3547319488438347e-08
0.028915489818689973,0.3379562361986545,0.29718083679661167,0.33540252279482263,1,0.3379562361986545,0.29718083679661167,0.3354025227948214,1,1,True,kkt,0.33795623513662515,0.2971808339851701,0.33540252178111024,1,optimal,CLARABEL,0.0,1.4784645362528401e-08,0.0,1.3747532556784847e-08
0.029832745062479196,0.3379562361986545,0.29718083679661167,0.33532151406816624,1,0.3379562361986545,0.29718083679661167,0.335321514068167,1,1,True,kkt,0.3379562351192201,0.29718083394146083,0.33532151303935853,1,optimal,CLARABEL,0.0,1.50083524770132e-08,0.0,1.3956607869403115e-08
0.0307790974160713,0.3379562361986545,0.29718083679661167,0.33523793558807674,1,0.3379562361986545,0.29718083679661167,0.3352379355880765,1,1,True,kkt,0.33795623510107053,0.29718083389578465,0.33523793454356005,1,optimal,CLARABEL,0.0,1.5242200886635085e-08,0.0,1.4175042806208182e-08
0.031755469896047134,0.3379562361986545,0.29718083679661167,0.33515170583700055,1,0.3379562361986545,0.29718083679661167,0.33515170583700254,1,1,True,kkt,0.3379562350821355,0.297180833848029,0.3351517047761358,1,optimal,CLARABEL,0.0,1.548677419889851e-08,0.0,1.440336983016266e-08
0.03276281479885812,0.3379562361986545,0.29718083679661167,0.3350627407115056,1,0.3379562361986545,0.29718083679661167,0.3350627407115033,1,1,True,kkt,0.3379562350623713,0.2971808337980729,0.33506273963361055,1,optimal,CLARABEL,0.0,1.574270086925206e-08,0.0,1.464216203839186e-08
0.033802114629640265,0.3379562361986545,0.29718083679661167,0.33497095344021405,1,0.3379562361986545,0.29718083679661167,0.3349709534402134,1,1,True,kkt,0.3379562350417308,0.2971808337457863,0.3349709523445828,1,optimal,CLARABEL,0.0,1.601065603009804e-08,0.0,1.4892034716496028e-08
0.03487438306049219,0.3379562361986545,0.29718083679661167,0.3348762544992127,1,0.3379562361986545,0.29718083679661167,0.3348762544992117,1,1,True,kkt,0.33795623502016336,0.2971808336910287,0.33487625338509314,1,optimal,CLARABEL,0.0,1.629136880220835e-08,0.0,1.5153652110910798e-08
0.03598066591915137,0.3379562361986545,0.29718083679661167,0.3347785515247047,1,0.3379562361986545,0.29718083679661167,0.3347785515247056,1,1,True,kkt,0.33795623499761435,0.2971808336336488,0.33477855039130705,1,optimal,CLARABEL,0.0,1.658562545903802e-08,0.0,1.542773009344245e-08
0.03712204220903312,0.3379562361986545,0.29718083679661167,0.3346777492229432,1,0.3379562361986545,0.29718083679661167,0.33467774922294397,1,1,True,kkt,0.33795623497402477,0.2971808335734827,0.33467774806942907,1,optimal,CLARABEL,0.0,1.689427688248917e-08,0.0,1.5715043044650656e-08
0.0382996251616273,0.3379562361986545,0.29718083679661167,0.3345737492772732,1,0.3379562361986545,0.29718083679661167,0.33457374927727396,1,1,True,kkt,0.33795623494933086,0.2971808335103533,0.33457374810275814,1,optimal,CLARABEL,0.0,1.7218244195650655e-08,0.0,1.6016428849852105e-08
0.03951456332227906,0.3379562361986545,0.29718083679661167,0.33446645025224675,1,0.3379562361986545,0.29718083679661167,0.3344664502522483,1,1,True,kkt,0.33795623492346355,0.29718083344406876,0.334466449055795,1,optimal,CLARABEL,0.0,1.755852436272313e-08,0.0,1.6332793784101796e-08
0.040768041670412536,0.3379562361986545,0.29718083679661167,0.3343557474946935,1,0.3379562361986545,0.29718083679661167,0.3343557474946912,1,1,True,kkt,0.33795623489634813,0.2971808333744205,0.33435574627530784,1,optimal,CLARABEL,0.0,1.7916201988418368e-08,0.0,1.666512339237869e-08
0.042061282775290254,0.3379562361986545,0.29718083679661167,0.3342415330316254,1,0.3379562361986545,0.29718083679661167,0.33424153303162585,1,1,True,kkt,0.33795623486790305,0.29718083330118206,0.33424153178825877,1,optimal,CLARABEL,0.0,1.8292455662240996e-08,0.0,1.7014488040700826e-08
0.043395547988435576,0.3379562361986545,0.29718083679661167,0.3341236954649638,1,0.3379562361986545,0.29718083679661167,0.33412369546496373,1,1,True,kkt,0.33795623481871484,0.2971808331986101,0.33412369417782606,1,optimal,CLARABEL,0.0,1.8791336998377486e-08,0.0,1.749215161606088e-08
0.04477213867388096,0.3379562361986545,0.29718083679661167,0.33400211986285294,1,0.3379562361986545,0.29718083679661167,0.3340021198628537,1,1,True,kkt,0.3379562347853736,0.29718083311483706,0.33400211854754797,1,optimal,CLARABEL,0.0,1.921918100380225e-08,0.0,1.7890378400942097e-08
0.04619239747744206,0.3379562361986545,0.29718083679661167,0.3338766876475826,1,0.3379562361986545,0.29718083679661167,0.33387668764758405,1,1,True,kkt,0.33795623475031616,0.2971808330265358,0.3338766863027531,1,optimal,CLARABEL,0.0,1.9670335952805172e-08,0.0,1.8310017280143143e-08
0.04765770963625571,0.3379562361986545,0.29718083679661167,0.3337472764799264,1,0.3379562361986545,0.29718083679661167,0.3337472764799287,1,1,True,kkt,0.3379562347134207,0.2971808329333751,0.3337472751041246,1,optimal,CLARABEL,0.0,2.0146516711286964e-08,0.0,1.875262833905822e-08
0.04916950432985915,0.3379562361986545,0.29718083679661167,0.33361376013982547,1,0.3379562361986545,0.29718083679661167,0.33361376013982497,1,1,True,kkt,0.33795623467455377,0.2971808328349919,0.33361375873150045,1,optimal,CLARABEL,0.0,2.0649603201023704e-08,0.0,1.9219920766033738e-08
0.05072925607412767,0.3379562361986545,0.29718083679661167,0.33347600840326574,1,0.3379562361986545,0.29718083679661167,0.3334760084032655,1,1,True,kkt,0.3379562346137902,0.29718083270389595,0.33347600694180285,1,optimal,CLARABEL,0.0,2.1281437594356674e-08,0.0,1.9820650121182837e-08
0.05233848615943104,0.3379562361986545,0.29718083679661167,0.3333338869152881,1,0.3379562361986545,0.29718083679661167,0.333333886915286,1,1,True,kkt,0.33795623456794327,0.29718083259029127,0.3333338854154249,1,optimal,CLARABEL,0.0,2.185780525491286e-08,0.0,2.0357090679823386e-08
0.053998764134410966,0.3379562361986545,0.29718083679661167,0.3331872570589217,1,0.3379562361986545,0.29718083679661167,0.33318725705892244,1,1,True,kkt,0.3379562345194998,0.29718083246994814,0.33318725551863115,1,optimal,CLARABEL,0.0,2.2468649286333742e-08,0.0,2.092519912899604e-08
0.055711709336826704,0.3379562361986545,0.29718083679661167,0.3330359758200143,1,0.3379562361986545,0.29718083679661167,0.33303597582001315,1,1,True,kkt,0.3379562344682538,0.29718083234231596,0.3330359742371071,1,optimal,CLARABEL,0.0,2.311680293773443e-08,0.0,2.152755385065319e-08
0.057478992472962065,0.3379562361986545,0.29718083679661167,0.33287989564771236,1,0.3379562361986545,0.29718083679661167,0.3328798956477105,1,1,True,kkt,0.337956234413977,0.2971808322067842,0.33287989401983664,1,optimal,CLARABEL,0.0,2.3805408059191296e-08,0.0,2.216701200374871e-08
0.05930233724713452,0.3379562361986545,0.29718083679661167,0.33271886431056685,1,0.3379562361986545,0.29718083679661167,0.3327188643105687,1,1,True,kkt,0.3379562343564167,0.29718083206267526,0.33271886263518813,1,optimal,CLARABEL,0.0,2.453795459522619e-08,0.0,2.284674460728553e-08
