formulation,max_budget_residual,max_long_only_violation,max_cap_violation,max_target_return_violation,max_target_risk_violation,return_spread,volatility_spread,mean_sharpe,mean_max_drawdown
long_only_utility,5.509698774996963e-08,1.1302631866341537e-07,,,,4.260178987358643e-09,1.6010850201197968e-08,1.2929887692274318,-0.2652356348736637
target_return,5.491622223630088e-08,9.567762340599425e-07,,0.0,,1.1266111721031091e-05,6.377685615871487e-06,1.527989796434985,-0.2575854470926051
box_constrained_utility,1.6829520887995386e-08,1.7385097837095044e-05,9.025890310154772e-08,,,1.7308937276194758e-05,2.256260187752379e-05,1.3821137006444713,-0.3477539625377518
target_risk_socp,2.609024107869118e-10,3.72059647697032e-08,,,2.3431466489309827e-09,2.652789398149835e-07,2.8681853733725227e-07,1.5029506214630015,-0.2845106901772259
