sampler,samples,best_mc_sharpe,best_mc_return,best_mc_volatility,frontier_best_sharpe,sharpe_gap
dirichlet_alpha1,1000,1.4386021855239401,0.2529171483659699,0.1758075657822369,1.5385956702503811,0.09999348472644098
dirichlet_alpha1,5000,1.4386021855239401,0.2529171483659699,0.1758075657822369,1.5385956702503811,0.09999348472644098
dirichlet_alpha1,10000,1.4386021855239401,0.2529171483659699,0.1758075657822369,1.5385956702503811,0.09999348472644098
dirichlet_alpha1,50000,1.4386021855239401,0.2529171483659699,0.1758075657822369,1.5385956702503811,0.09999348472644098
dirichlet_alpha1,100000,1.4386021855239401,0.2529171483659699,0.1758075657822369,1.5385956702503811,0.09999348472644098
tilted,1000,1.513797695078976,0.26490848476773116,0.1749959625575402,1.5385956702503811,0.02479797517140514
tilted,5000,1.513797695078976,0.26490848476773116,0.1749959625575402,1.5385956702503811,0.02479797517140514
tilted,10000,1.513797695078976,0.26490848476773116,0.1749959625575402,1.5385956702503811,0.02479797517140514
tilted,50000,1.521746853791594,0.2661065177302077,0.17486910984384496,1.5385956702503811,0.01684881645878722
tilted,100000,1.525273807066772,0.2706118332340145,0.17741852772940717,1.5385956702503811,0.013321863183609173
mixed,1000,1.4960848990528592,0.2643014023410232,0.17666203469358388,1.5385956702503811,0.04251077119752189
mixed,5000,1.5229454674041945,0.2727515595162462,0.17909476429326218,1.5385956702503811,0.015650202846186678
mixed,10000,1.5229454674041945,0.2727515595162462,0.17909476429326218,1.5385956702503811,0.015650202846186678
mixed,50000,1.5229454674041945,0.2727515595162462,0.17909476429326218,1.5385956702503811,0.015650202846186678
mixed,100000,1.5229454674041945,0.2727515595162462,0.17909476429326218,1.5385956702503811,0.015650202846186678
